Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
2,2014,0,16,0.0,0.0,0.06,0.0,71.0,22.0,7.5,24.0,8,73.0
17,2015,10,12,0.13,0.42,0.13,0.1,87.0,54.0,7.1,680.0,1,79.0
6,2003,6,10,0.21,0.08,0.0,0.01,77.0,9.0,8.2,25.0,1,79.5
15,2003,4,24,0.18,0.14,0.0,0.05,71.0,22.0,7.5,24.0,8,73.0
25,2013,0,8,1.05,0.41,0.0,0.14,71.0,22.0,4.2,24.0,2,56.5
27,2010,0,23,0.67,0.28,0.01,0.1,83.0,81.0,7.9,292.0,5,81.0
28,2005,2,4,0.03,0.01,0.0,0.0,61.0,20.0,7.5,24.0,7,68.0
27,2012,0,19,1.06,0.5,0.01,0.14,88.0,56.0,7.9,815.0,5,83.5
27,2009,0,10,0.26,0.2,0.0,0.05,73.0,69.0,8.2,141.0,5,77.5
28,2004,0,19,0.02,0.01,0.0,0.0,53.0,7.0,7.5,24.0,1,64.0
29,2015,6,19,0.0,0.03,0.0,0.0,65.0,9.0,7.5,24.0,8,70.0
7,2006,8,9,0.08,0.02,0.0,0.0,51.0,4.0,5.2,5.0,2,51.5
12,2008,5,19,0.0,0.01,0.0,0.0,76.0,15.0,8.1,24.0,1,78.5
14,1997,10,12,0.0,0.0,0.56,0.04,71.0,22.0,7.5,24.0,8,73.0
16,2012,0,19,0.0,0.0,0.14,0.0,63.0,20.0,8.0,22.0,7,71.5
14,1996,11,19,0.0,0.0,0.48,0.03,71.0,22.0,7.5,24.0,8,73.0
2,2014,2,17,3.27,1.37,2.43,0.48,71.0,22.0,7.5,24.0,8,73.0
15,2007,2,19,0.0,0.0,0.02,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2005,7,2,0.53,0.02,0.0,0.09,82.0,44.0,7.3,41.0,7,77.5
25,2007,9,19,0.67,0.03,0.06,0.05,65.0,18.0,8.2,28.0,1,73.5
27,2006,6,10,0.42,0.04,0.0,0.04,89.0,61.0,8.1,140.0,2,85.0
15,2003,8,19,0.38,0.29,0.0,0.1,71.0,22.0,7.5,24.0,8,73.0
25,2006,6,26,0.46,0.01,0.02,0.04,41.0,15.0,4.0,21.0,1,40.5
15,2009,1,19,0.0,0.0,0.01,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2002,10,2,0.45,0.35,0.0,0.12,71.0,22.0,7.5,24.0,8,73.0
27,2006,0,25,0.07,0.01,0.0,0.01,52.0,30.0,8.7,18.0,7,69.5
4,2007,11,17,0.0,0.0,0.11,0.0,71.0,22.0,7.5,24.0,8,73.0
7,2005,8,10,0.06,0.02,0.0,0.0,82.0,32.0,9.1,41.0,5,86.5
